Date|Value
04/02/2024 15:54:54|16.6
04/02/2024 16:09:54|16.6
04/02/2024 16:24:54|16.6
04/02/2024 16:39:54|16.6
04/02/2024 16:54:54|16.5
04/02/2024 17:09:54|16.4
04/02/2024 17:24:54|16.5
04/02/2024 17:39:54|16.5
04/02/2024 17:54:54|16.4
04/02/2024 18:09:54|16.4
04/02/2024 18:24:54|16.4
04/02/2024 18:39:53|16.3
04/02/2024 18:54:53|16.3
04/02/2024 19:09:53|16.3
04/02/2024 19:24:53|16.2
04/02/2024 19:39:53|16.2
04/02/2024 19:54:53|16.2
04/02/2024 20:09:53|16.2
04/02/2024 20:24:53|16.2
04/02/2024 20:39:53|16.1
04/02/2024 20:54:53|16.2
04/02/2024 21:09:53|16.1
04/02/2024 21:24:53|16.1
04/02/2024 21:39:53|16.1
04/02/2024 21:54:53|16
04/02/2024 22:09:53|16
04/02/2024 22:24:53|16
04/02/2024 22:39:53|15.9
04/02/2024 22:54:53|16
04/02/2024 23:09:53|15.9
04/02/2024 23:24:53|15.9
04/02/2024 23:39:52|15.9
04/02/2024 23:54:52|15.8
04/03/2024 00:09:52|15.8
04/03/2024 00:24:52|15.8
04/03/2024 00:39:52|15.7
04/03/2024 00:54:52|15.7
04/03/2024 01:09:52|15.7
04/03/2024 01:24:52|15.7
04/03/2024 01:39:52|15.7
04/03/2024 01:54:52|15.6
